feature,mean_abs_shap
has_discount,1.4361749
cumulative_disc_weeks,1.4226803
weeks_since_discount,0.9528971
cumulative_units,0.42020518
discount_rate,0.36690226
total_discount,0.30948913
disc_exposure_rate,0.30728865
lifecycle_position,0.20906352
max_discount_rate,0.20387262
product_age_weeks,0.15062039
size_curve_completeness,0.10716958
week_cos,0.099071845
velocity_8w,0.09606128
segunda_jerarquia,0.08047474
avg_precio_lista,0.06816408
lifecycle_stage_code,0.0661771
velocity_trend,0.05888714
week_of_year,0.050764218
min_precio_lista,0.049541503
week_sin,0.0482388
price_elasticity,0.046325598
velocity_4w,0.042759694
month_cos,0.0417007
avg_precio_final,0.036123034
avg_dwell_time,0.032613195
weekly_entries,0.028460337
attrition_rate,0.026279395
max_precio_lista,0.023887312
month,0.023138862
primera_jerarquia,0.021431113
fragmentation_index,0.01972666
gross_revenue,0.018152162
units_sold,0.017505376
weeks_of_cover,0.016900131
total_list_value,0.015266645
velocity_2w,0.013675751
month_sin,0.013358208
stock_total,0.013293056
grupo_etario,0.013091289
stock_to_sales_ratio,0.012795143
conversion_rate,0.012634243
price_change_pct,0.01184289
is_fall_winter,0.009932356
stock_on_hand,0.0086720735
genero,0.008373041
txn_count,0.008257741
stock_in_transit,0.0072257854
net_units,0.0070993924
velocity_1w,0.0052720625
price_changed,0.0040668296
quarter,0.0017334874
units_returned,0.00095411617
pct_sizes_in_stock,0.00067737646
core_completeness,0.00019350112
stock_out_days,0.0
