feature,mean_abs_shap
max_discount_rate,0.068295024
discount_rate,0.05060865
cumulative_units,0.012754728
total_discount,0.010591066
size_curve_completeness,0.0076984735
total_list_value,0.0073895
cumulative_disc_weeks,0.006154921
disc_exposure_rate,0.004987733
product_age_weeks,0.004567166
units_sold,0.0044175554
segunda_jerarquia,0.004330705
week_of_year,0.0042493856
gross_revenue,0.0036020668
lifecycle_position,0.0031475173
month_cos,0.002770579
txn_count,0.002631295
avg_dwell_time,0.0025225105
grupo_etario,0.002487369
week_cos,0.002231845
avg_precio_final,0.0022032282
weeks_since_discount,0.0021427043
has_discount,0.0020244555
velocity_4w,0.0019388078
primera_jerarquia,0.0017325971
weekly_entries,0.001570793
lifecycle_stage_code,0.0015432857
max_precio_lista,0.0014429183
price_change_pct,0.0013742347
price_elasticity,0.0013630952
is_fall_winter,0.001228185
min_precio_lista,0.0011340949
velocity_8w,0.001083253
attrition_rate,0.0010566671
week_sin,0.0009553452
month,0.0008806884
velocity_trend,0.0008564234
avg_precio_lista,0.0007553959
velocity_2w,0.0007097035
conversion_rate,0.0006678009
price_changed,0.0004963364
fragmentation_index,0.000381165
month_sin,0.00035036245
quarter,0.0002564969
net_units,0.0002405576
genero,0.00022733971
core_completeness,8.0285565e-05
velocity_1w,2.4070698e-05
units_returned,1.341561e-05
