feature,mean_abs_shap
weeks_since_discount,0.73266935
cumulative_disc_weeks,0.66436213
disc_exposure_rate,0.621612
has_discount,0.56085557
discount_rate,0.35110858
cumulative_units,0.3292526
lifecycle_position,0.25079748
max_discount_rate,0.21307047
product_age_weeks,0.17349897
total_discount,0.122777775
velocity_8w,0.11682097
lifecycle_stage_code,0.10701536
size_curve_completeness,0.102317326
core_completeness,0.061295543
velocity_trend,0.05479865
price_elasticity,0.052177973
avg_precio_final,0.04817195
velocity_4w,0.045727648
max_precio_lista,0.03475643
segunda_jerarquia,0.026403146
week_cos,0.024150686
weekly_entries,0.02162982
week_of_year,0.021114303
month_cos,0.021024544
min_precio_lista,0.020871265
grupo_etario,0.020574091
month,0.019456549
avg_dwell_time,0.01942056
units_returned,0.01789781
velocity_2w,0.017393304
conversion_rate,0.015219419
month_sin,0.015061959
is_fall_winter,0.013591976
avg_precio_lista,0.013444656
week_sin,0.01302051
primera_jerarquia,0.012575212
total_list_value,0.01197641
attrition_rate,0.0103271995
units_sold,0.009802682
gross_revenue,0.009515745
fragmentation_index,0.00908927
txn_count,0.006518322
net_units,0.0058759325
genero,0.005303049
velocity_1w,0.0023824903
quarter,0.0013361267
price_change_pct,0.00085432216
price_changed,0.00029946805
