feature,mean_abs_shap
max_discount_rate,0.07773635
discount_rate,0.021841336
cumulative_units,0.01661852
cumulative_disc_weeks,0.0075337994
price_elasticity,0.006664444
product_age_weeks,0.006033237
total_discount,0.0059559504
avg_precio_final,0.0039625904
disc_exposure_rate,0.0038472759
size_curve_completeness,0.0036885878
total_list_value,0.0030598938
lifecycle_position,0.0030254186
lifecycle_stage_code,0.0027295514
attrition_rate,0.0017986776
velocity_8w,0.0017121165
weekly_entries,0.0016706444
stock_to_sales_ratio,0.0016256913
avg_precio_lista,0.0016239961
segunda_jerarquia,0.0015529864
stock_on_hand,0.0015047712
stock_total,0.0014920218
max_precio_lista,0.0013831004
weeks_since_discount,0.0013692782
week_cos,0.0013627968
primera_jerarquia,0.001283385
top3_sizes_in_stock,0.0011974145
week_of_year,0.0011601828
velocity_trend,0.0011560854
velocity_4w,0.001046834
week_sin,0.0010379192
weeks_of_cover,0.001028158
min_precio_lista,0.0009243509
avg_dwell_time,0.0009070853
month,0.0008660423
month_sin,0.00083961844
velocity_2w,0.0007090041
gross_revenue,0.0006804042
revenue_at_risk_pct,0.0005663151
has_discount,0.0005498207
fragmentation_index,0.00047877085
net_units,0.0004489039
grupo_etario,0.00041573355
conversion_rate,0.00039610706
weighted_size_avail,0.00033850758
units_returned,0.00031838517
core_completeness,0.00028119257
txn_count,0.0002409402
genero,0.00021676451
month_cos,0.00020987498
units_sold,0.00017358117
velocity_1w,0.00013438515
quarter,0.000124002
pct_sizes_in_stock,0.00010130607
price_change_pct,9.690347e-05
is_fall_winter,7.7230405e-05
stock_in_transit,2.3100326e-06
price_changed,8.2190404e-08
stock_out_days,0.0
