feature,mean_abs_shap
weeks_since_discount,2.2151608
cumulative_disc_weeks,0.33869267
has_discount,0.19327806
size_curve_completeness,0.15704928
product_age_weeks,0.14278798
disc_exposure_rate,0.110056855
velocity_4w,0.10007002
weekly_entries,0.0923824
segunda_jerarquia,0.0891562
avg_dwell_time,0.085341506
max_discount_rate,0.08014198
cumulative_units,0.07890658
conversion_rate,0.07033768
week_cos,0.062356804
week_sin,0.06133781
week_of_year,0.052516423
min_precio_lista,0.047262255
velocity_8w,0.039171018
velocity_trend,0.024857523
discount_rate,0.024565795
price_change_pct,0.020340731
genero,0.019719806
total_discount,0.01952573
month,0.017723609
velocity_2w,0.017529596
avg_precio_lista,0.01749383
max_precio_lista,0.01714883
gross_revenue,0.016385337
total_list_value,0.014518319
month_sin,0.013968365
month_cos,0.013258558
avg_precio_final,0.012217677
primera_jerarquia,0.010789423
grupo_etario,0.010590715
quarter,0.0070458893
txn_count,0.00315246
units_sold,0.0026943125
net_units,0.002536983
price_changed,0.0020823346
units_returned,0.00094590144
velocity_1w,0.00054353534
