feature,mean_abs_shap
weeks_since_discount,2.2539082
cumulative_disc_weeks,0.38666427
lifecycle_position,0.1520253
has_discount,0.1178786
product_age_weeks,0.09473549
disc_exposure_rate,0.094134055
segunda_jerarquia,0.09297438
weekly_entries,0.08809756
price_elasticity,0.08297984
size_curve_completeness,0.08129465
avg_dwell_time,0.07422306
velocity_4w,0.061782766
week_of_year,0.05710685
week_cos,0.055723537
fragmentation_index,0.055147037
conversion_rate,0.054639865
cumulative_units,0.051344194
max_discount_rate,0.04421117
min_precio_lista,0.04139329
week_sin,0.040315125
attrition_rate,0.039315667
lifecycle_stage_code,0.035168685
active_sizes_4w,0.03275394
velocity_8w,0.032720353
month,0.028644722
total_sizes_ever,0.027566874
core_completeness,0.026599023
discount_rate,0.024266716
velocity_trend,0.022808552
velocity_2w,0.01916541
price_change_pct,0.017214756
genero,0.01491426
avg_precio_lista,0.014572096
is_fall_winter,0.013808474
max_precio_lista,0.013498782
quarter,0.012355914
month_cos,0.011614394
total_list_value,0.01075886
avg_precio_final,0.008923814
grupo_etario,0.0085926615
month_sin,0.008310884
primera_jerarquia,0.005776696
gross_revenue,0.0057550366
units_sold,0.0030182227
price_changed,0.0028801404
txn_count,0.0027899046
total_discount,0.0018695166
net_units,0.0013655878
velocity_1w,0.0009023282
units_returned,0.0008713443
