feature,mean_abs_shap
price_elasticity,0.18748093
lifecycle_position,0.17835873
weekly_entries,0.17738341
segunda_jerarquia,0.1616073
product_age_weeks,0.13307337
cumulative_units,0.10232559
avg_dwell_time,0.097304724
week_cos,0.078346215
size_curve_completeness,0.07480801
conversion_rate,0.07142492
attrition_rate,0.06613639
velocity_8w,0.06347628
week_sin,0.06317069
week_of_year,0.056018583
genero,0.055982713
min_precio_lista,0.05070429
fragmentation_index,0.048012707
core_completeness,0.045110878
is_fw,0.037584405
active_sizes_4w,0.033503965
month,0.033027187
avg_precio_lista,0.031519048
month_cos,0.02967211
lifecycle_stage_code,0.023200506
primera_jerarquia,0.021622077
velocity_4w,0.021433378
month_sin,0.018893577
velocity_trend,0.013444221
velocity_2w,0.013309717
max_precio_lista,0.013267689
txn_count,0.0118795335
gross_revenue,0.011583313
avg_precio_final,0.0104481345
units_returned,0.009135746
grupo_etario,0.0077002593
quarter,0.0051680827
net_units,0.0032813812
price_change_pct,0.0032401572
velocity_1w,0.0014946
units_sold,0.0010791982
price_changed,0.00045461697
