feature,mean_abs_shap
price_elasticity,4.155587
has_discount,1.1247224
discount_rate,0.88876885
total_discount,0.8843729
attrition_rate,0.18057756
segunda_jerarquia,0.1708257
gross_revenue,0.16592017
genero,0.16229358
product_age_weeks,0.15899047
avg_precio_final,0.13111153
avg_precio_lista,0.12091807
size_curve_completeness,0.10459014
core_completeness,0.09397546
disc_exposure_rate,0.08781318
week_cos,0.08585291
max_discount_rate,0.084525056
min_precio_lista,0.07972899
weekly_entries,0.07035552
velocity_8w,0.066227145
avg_dwell_time,0.058483914
week_sin,0.057315223
lifecycle_position,0.054440487
max_precio_lista,0.05268713
is_fall_winter,0.044173215
total_list_value,0.043323625
stock_to_sales_ratio,0.04220072
cumulative_disc_weeks,0.04214271
lifecycle_stage_code,0.036691174
conversion_rate,0.03619424
fragmentation_index,0.03549791
velocity_2w,0.032760702
week_of_year,0.030608496
weeks_since_discount,0.02461089
weeks_of_cover,0.023129433
stock_in_transit,0.022806935
cumulative_units,0.019083165
velocity_4w,0.019081498
stock_total,0.018958103
month_sin,0.017692322
month_cos,0.015004779
grupo_etario,0.014920626
velocity_trend,0.0142473085
stock_on_hand,0.013783924
net_units,0.013546383
primera_jerarquia,0.010996861
top3_sizes_in_stock,0.00849272
month,0.008028608
txn_count,0.0071987603
weighted_size_avail,0.0032579133
velocity_1w,0.002295631
units_sold,0.0014853992
quarter,0.0013010495
revenue_at_risk_pct,0.0012609314
price_changed,0.0
price_change_pct,0.0
pct_sizes_in_stock,0.0
units_returned,0.0
stock_out_days,0.0
