feature,mean_abs_shap
max_discount_rate,0.038631044
discount_rate,0.0066330624
total_discount,0.005925226
conversion_rate,0.0057850378
weekly_entries,0.0052898657
cumulative_units,0.0049896743
cumulative_disc_weeks,0.0044114343
price_elasticity,0.0027194119
disc_exposure_rate,0.002644813
product_age_weeks,0.00257106
price_change_pct,0.002311082
min_precio_lista,0.002203768
lifecycle_position,0.0018361744
primera_jerarquia,0.0018102737
week_sin,0.0017272789
size_curve_completeness,0.0017206894
avg_precio_final,0.0015677072
max_precio_lista,0.0014597559
avg_dwell_time,0.0014255934
gross_revenue,0.0013758098
segunda_jerarquia,0.0012321282
core_completeness,0.0011515087
fragmentation_index,0.0011411473
avg_precio_lista,0.001032187
month_cos,0.0009706788
attrition_rate,0.00095732155
velocity_trend,0.0009526434
weeks_since_discount,0.00095132826
week_cos,0.00085276464
stock_on_hand,0.00083875156
velocity_8w,0.00082750013
weeks_of_cover,0.0007719354
stock_total,0.00073824043
week_of_year,0.00071638357
stock_to_sales_ratio,0.00069803995
total_list_value,0.00062800647
velocity_4w,0.000490151
lifecycle_stage_code,0.00040507154
genero,0.00036063025
month,0.00028810123
month_sin,0.00026033403
velocity_2w,0.00025295268
stock_in_transit,0.00021351156
net_units,0.00019187019
is_fall_winter,0.00018811342
units_sold,0.00016817643
weighted_size_avail,0.00013555438
price_changed,0.00012343045
grupo_etario,0.000117098025
units_returned,9.034573e-05
top3_sizes_in_stock,9.0099806e-05
txn_count,7.204389e-05
revenue_at_risk_pct,6.141051e-05
has_discount,4.287819e-05
velocity_1w,1.8234328e-05
quarter,1.2109877e-05
pct_sizes_in_stock,0.0
stock_out_days,0.0
