feature,mean_abs_shap
weeks_since_discount,1.0116392
cumulative_disc_weeks,0.94415486
has_discount,0.90884316
disc_exposure_rate,0.6056996
discount_rate,0.54571855
cumulative_units,0.36695808
lifecycle_position,0.21923457
total_discount,0.21804869
product_age_weeks,0.1839034
max_discount_rate,0.18131311
weekly_entries,0.120440096
lifecycle_stage_code,0.09361959
primera_jerarquia,0.0872231
velocity_8w,0.071991384
avg_precio_lista,0.06925082
price_elasticity,0.060989276
week_of_year,0.060565572
max_precio_lista,0.049206458
week_cos,0.048696667
avg_precio_final,0.046183325
size_curve_completeness,0.043006506
velocity_4w,0.04263045
avg_dwell_time,0.041317485
min_precio_lista,0.041261636
month,0.03863677
velocity_trend,0.036226965
conversion_rate,0.035249595
segunda_jerarquia,0.03188534
week_sin,0.03075227
weeks_of_cover,0.026947036
grupo_etario,0.024737237
total_list_value,0.023685033
gross_revenue,0.01857311
velocity_2w,0.017959608
stock_on_hand,0.013229529
net_units,0.012499369
month_cos,0.010885112
is_fall_winter,0.0101148235
month_sin,0.009129175
stock_to_sales_ratio,0.009053301
units_sold,0.008443423
stock_total,0.0072557107
units_returned,0.004986799
genero,0.004751036
txn_count,0.0047469763
price_change_pct,0.0031101112
stock_in_transit,0.0027664206
velocity_1w,0.0027361684
quarter,0.0016067367
weighted_size_avail,0.0011318028
price_changed,0.00081218506
revenue_at_risk_pct,0.00057188986
top3_sizes_in_stock,0.00040673313
fragmentation_index,0.00019099479
core_completeness,0.00018595747
attrition_rate,0.00018042374
pct_sizes_in_stock,6.087684e-05
stock_out_days,0.0
