feature,mean_abs_shap
max_discount_rate,0.08332101
discount_rate,0.028278684
cumulative_disc_weeks,0.010432438
cumulative_units,0.009063087
size_curve_completeness,0.0064944224
has_discount,0.006016308
primera_jerarquia,0.0053970674
disc_exposure_rate,0.0049436837
lifecycle_position,0.004753771
total_discount,0.004734344
product_age_weeks,0.0038463771
avg_precio_final,0.003805042
weekly_entries,0.003052191
velocity_8w,0.0018489042
weeks_since_discount,0.0018250635
week_sin,0.0018153162
week_of_year,0.0018118509
price_elasticity,0.0018049863
avg_dwell_time,0.001687488
min_precio_lista,0.0015306915
avg_precio_lista,0.0013015459
max_precio_lista,0.0010718268
month_cos,0.0009846127
segunda_jerarquia,0.000963845
conversion_rate,0.0009239359
lifecycle_stage_code,0.000862244
velocity_4w,0.00082090986
gross_revenue,0.0008140884
week_cos,0.0007588314
genero,0.0007442868
is_fall_winter,0.00072795816
price_change_pct,0.00065492414
total_list_value,0.0006010746
velocity_trend,0.0005977881
grupo_etario,0.0005247778
month,0.00047707328
velocity_2w,0.0003531734
weeks_of_cover,0.0003172229
stock_on_hand,0.0002150213
month_sin,0.00020758646
net_units,0.000205472
stock_to_sales_ratio,0.00016518174
stock_total,0.00015997382
price_changed,0.00014806482
stock_in_transit,0.00014061067
txn_count,8.965088e-05
quarter,7.708568e-05
units_sold,3.560444e-05
velocity_1w,2.5836005e-05
units_returned,8.952924e-06
fragmentation_index,6.1490114e-06
core_completeness,3.0386373e-06
attrition_rate,1.1558823e-06
pct_sizes_in_stock,0.0
stock_out_days,0.0
