feature,mean_abs_shap
max_discount_rate,0.046391953
weeks_since_discount,0.007926626
discount_rate,0.0069277054
cumulative_units,0.0033998794
cumulative_disc_weeks,0.0033986703
weekly_entries,0.003354377
product_age_weeks,0.0028755032
conversion_rate,0.002608492
disc_exposure_rate,0.0019080049
avg_dwell_time,0.0017163268
segunda_jerarquia,0.0015412272
velocity_8w,0.0015363324
month_cos,0.0014175889
velocity_4w,0.0012629491
total_discount,0.0011519758
week_sin,0.0011442102
week_cos,0.00091084966
has_discount,0.000827624
velocity_trend,0.0008052031
velocity_2w,0.0007853245
grupo_etario,0.00070581003
price_change_pct,0.00069473
primera_jerarquia,0.00057774043
gross_revenue,0.0005351227
genero,0.00048705065
week_of_year,0.00045711067
size_curve_completeness,0.00042356248
avg_precio_final,0.00042100603
month,0.0003925288
avg_precio_lista,0.00038451882
total_list_value,0.00033174964
month_sin,0.0002846908
min_precio_lista,0.00019207697
txn_count,0.0001900015
max_precio_lista,0.00014084177
units_sold,0.000107391206
net_units,7.781365e-05
units_returned,7.103269e-05
quarter,2.2207309e-05
price_changed,1.0239515e-05
velocity_1w,4.296051e-07
