feature,mean_abs_shap
max_discount_rate,0.040994324
discount_rate,0.009643388
weeks_since_discount,0.007106628
lifecycle_position,0.0051188506
conversion_rate,0.004856853
cumulative_disc_weeks,0.0037102143
cumulative_units,0.0036303687
weekly_entries,0.0023535236
month_cos,0.0019583604
total_discount,0.0019081163
price_elasticity,0.0015841025
avg_dwell_time,0.001505796
product_age_weeks,0.0013506947
disc_exposure_rate,0.001350488
velocity_8w,0.001335619
segunda_jerarquia,0.0012947312
txn_count,0.0011975063
attrition_rate,0.0011156357
velocity_4w,0.0009970961
price_change_pct,0.00087312324
primera_jerarquia,0.0008378505
has_discount,0.00079314323
week_cos,0.0007508137
lifecycle_stage_code,0.0007083323
velocity_trend,0.0006954031
week_sin,0.0006285114
velocity_2w,0.0005926547
gross_revenue,0.00058061106
grupo_etario,0.00050320185
avg_precio_final,0.00043375863
core_completeness,0.0004209422
fragmentation_index,0.00035369082
size_curve_completeness,0.00033286467
week_of_year,0.00032191872
total_list_value,0.00031638064
avg_precio_lista,0.0003147015
month_sin,0.0002801431
genero,0.00027211715
total_sizes_ever,0.00022473083
month,0.00019759334
active_sizes_4w,0.00018478409
max_precio_lista,0.0001847495
units_sold,0.00014054231
net_units,0.00010718557
quarter,0.00010062668
min_precio_lista,6.5446526e-05
is_fall_winter,5.5222572e-05
units_returned,3.7832477e-05
price_changed,1.7118115e-05
velocity_1w,8.219998e-06
