sku,product_name,store_code,talla,color,category,subcategory,markdown_probability,confidence,recommended_depth,priority_score,weekly_velocity,velocity_trend,product_age_weeks,size_curve_completeness,currently_discounted,current_discount_pct,max_historical_discount,current_avg_price,estimated_weekly_revenue,rationale,store_name
HK1162012BBLC080,BONDI 9 BBLC W N°8,7501,8,BLACK,Footwear,Running,0.9998753,high,0.06644717,509906.41035318375,2.5,0.6,24.857142857142858,0.6,1,0.04999901955016962,0.08749926466262721,169990.0,424975.0,0 weeks since last discount → increases markdown likelihood; Currently on discount → increases continuation probability,Hoka Costanera
HK1162012BBLC075,"BONDI 9 BBLC W N°7,5",7501,"7,5",BLACK,Footwear,Running,0.9995522,high,0.13044095,424784.69207435846,2.5,1.0,24.714285714285715,0.6,0,0.0,0.3,169990.0,424975.0,1 weeks since last discount → increases markdown likelihood,Hoka Costanera
HK1162011BBLC110,BONDI 9 BBLC M N°11,7501,11,BLACK,Footwear,Running,0.9993761,high,0.16121097,339767.8926599026,2.0,1.0,24.857142857142858,0.5384615384615384,0,0.0,0.19995293840814166,169990.0,339980.0,2 weeks since last discount → increases markdown likelihood; Product is 24 weeks old → increases markdown risk,Hoka Costanera
HK1162012BBLC090,BONDI 9 BBLC W N°9,7501,9,BLACK,Footwear,Running,0.999863,high,0.205755,305940.0891945362,1.5,0.6666666666666666,24.857142857142858,0.6,1,0.19995293840814166,0.2,169990.0,254985.0,0 weeks since last discount → increases markdown likelihood; Currently on discount → increases continuation probability,Hoka Costanera
HK1162012BWHT075,"BONDI 9 BWHT N° 7,5",AB75,6,BLACK,Footwear,Sneakers,0.99942565,high,0.11608372,305806.2591290474,1.5,0.3333333333333333,49.714285714285715,0.4,0,0.0,0.2,169990.0,254985.0,2 weeks since last discount → increases markdown likelihood,CD Hoka (E-commerce)
HK1162012BBLC080,BONDI 9 BBLC W N°8,AB75,8,BLACK,Footwear,Running,0.999938,high,0.28749108,297464.059407711,1.75,0.8571428571428571,24.857142857142858,0.8,1,0.3,0.3,169990.0,297482.5,0 weeks since last discount → increases markdown likelihood; Currently on discount → increases continuation probability,CD Hoka (E-commerce)
HK1162012BBLC065,"BONDI 9 BBLC W N°6,5",AB75,"6,5",BLACK,Footwear,Running,0.99993765,high,0.140398,297463.9530196786,1.75,1.1428571428571428,24.714285714285715,0.8,1,0.15,0.15,169990.0,297482.5,0 weeks since last discount → increases markdown likelihood; Currently on discount → increases continuation probability; Size availability at 80% → increases markdown signal,CD Hoka (E-commerce)
HK1162012BBLC075,"BONDI 9 BBLC W N°7,5",AB75,"7,5",BLACK,Footwear,Running,0.9995788,high,0.10868383,297357.1926291287,1.75,1.7142857142857142,24.714285714285715,0.8,0,0.0,0.2,169990.0,297482.5,1 weeks since last discount → increases markdown likelihood; Size availability at 80% → increases markdown signal,CD Hoka (E-commerce)
HK1162011BBLC085,"BONDI 9 BBLC M N°8,5",7501,"8,5",BLACK,Footwear,Running,0.99986935,high,0.07488977,254951.68534755707,1.5,1.0,24.428571428571427,0.5384615384615384,1,0.07499852932525443,0.0789460647718125,169990.0,254985.0,0 weeks since last discount → increases markdown likelihood; Currently on discount → increases continuation probability,Hoka Costanera
HK1162012BWHT080,BONDI 9 BWHT N° 8,AB75,"8,5",BLACK,Footwear,Sneakers,0.9997373,high,0.14389819,254918.02113443613,1.5,1.0,50.42857142857143,0.4,0,0.0,0.2,169990.0,254985.0,1 weeks since last discount → increases markdown likelihood; Product is 50 weeks old → increases markdown risk,CD Hoka (E-commerce)
