parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,confidence_tier,action_type
NIIH4119010,2012,Bold Vivo Coquimbo,AIR MAX DN8,Footwear,Street,1,6,4,,,219990,89990,40%,1.0,169990,30%,0.8,89990,127492,37502,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado,0.991,SPECULATIVE,increase
NIHV8066002,2005,Bold Ahumada,NIKE AIR MAX PLUS OG REFLECT,Footwear,Street,2,10,14,,,212990,169990,15%,2.0,249990,Full price,1.5,339980,374985,35005,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price; Sin elasticidad — volumen estimado,0.71,SPECULATIVE,increase
NIBQ6472402,2012,Bold Vivo Coquimbo,WMNS AIR JORDAN 1 MID,Footwear,Street,2,9,1,,,136990,119990,15%,2.5,139990,Full price,2.3,299975,322767,22792,INCREASE,Selling 2.5 u/sem at 15% off -- test higher price,0.974,HIGH,increase
NIHQ7397001,2028,Bold Costanera II,WMNS NIKE FIELD GENERAL,Footwear,Street,1,9,19,,,132990,79990,40%,2.0,99990,30%,1.8,159980,178645,18665,INCREASE,Selling 2.0 u/sem at 40% off -- test higher price,0.015,MEDIUM,increase
NIIF0465401,AB20,Centro Logistico Bold,NIKE FIELD GENERAL (GS),Footwear,Street,1,7,12,,,92990,34990,40%,1.0,69990,30%,0.8,34990,52492,17502,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado,0.004,SPECULATIVE,increase
NIIM6363600,2028,Bold Costanera II,W NIKE AIR MAX DN GLOW,Footwear,Street,1,9,12,,,192990,139990,30%,1.0,169990,20%,0.9,139990,156794,16804,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,0.999,HIGH,increase
NBPC9060BK,2027,Bold Plaza Egaña,PC9060BK BLK,Footwear,Street,2,6,14,,,84990,59990,30%,2.5,69990,20%,2.3,149975,162402,12427,INCREASE,Selling 2.5 u/sem at 30% off -- test higher price; Sales accelerating,1.0,HIGH,increase
NIAR3565012,2024,Bold Puente,W NIKE SHOX R4,Footwear,Street,1,9,13,,,169990,119990,30%,1.0,139990,20%,0.9,119990,132307,12317,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,0.995,HIGH,increase
NIDC0774180,2023,Bold Alto Las Condes,WMNS AIR JORDAN 1 LOW,Footwear,Street,1,9,32,,,126990,89990,30%,1.0,109990,20%,0.9,89990,101725,11735,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,1.0,HIGH,increase
PM39520554,2016,Bold Temuco,Suede XL,Footwear,Street,2,8,23,,,89990,79990,15%,2.0,89990,Full price,1.9,159980,171108,11128,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price,0.985,HIGH,increase
NIIB4414120,2002,Bold Plaza Norte,WMNS JORDAN FLIGHT COURT SE,Footwear,Street,2,6,15,,,122990,89990,30%,2.0,99990,20%,1.9,179980,190933,10953,INCREASE,Selling 2.0 u/sem at 30% off -- test higher price,0.999,HIGH,increase
