parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,action_type
HK1147790BWHT,7502,Hoka Marina,MACH 6 BWHT M,Footwear,Running,4,11,18,139990,83990,40%,1.8,97990,30%,1.3,147000,128611,-18388,INCREASE,Selling 1.8 u/sem at 40% off -- test higher price; Sales accelerating,1.0,increase
HK1147810BWHT,7501,Hoka Costanera,MACH 6 BWHT W,Footwear,Outdoor,3,10,19,139990,83990,40%,1.8,97990,30%,1.3,147000,128611,-18388,INCREASE,Selling 1.8 u/sem at 40% off -- test higher price; Sales accelerating,1.0,increase
HK1147791OSH,7501,Hoka Costanera,SPEEDGOAT 6 OSH M,Footwear,Running,2,11,16,154990,107990,30%,1.2,123990,20%,0.9,135625,116240,-19384,INCREASE,Selling 1.2 u/sem at 30% off -- test higher price; Sales accelerating,1.0,increase
HK1155152TRFF,7502,Hoka Marina,SPEEDGOAT 6 MID GTX TRFF M,Footwear,Running,2,9,24,197990,138990,30%,1.0,157990,20%,0.8,138600,118492,-20107,INCREASE,Selling 1.0 u/sem at 30% off -- test higher price,1.0,increase
HK1171928BWHT,AB75,Centro Logistico Hoka,M SPEEDGOAT 7 BWHT,Footwear,Trail Running,4,5,0,164990,139990,15%,1.2,164990,Full price,0.9,175302,154678,-20624,INCREASE,Selling 1.2 u/sem at 15% off -- test higher price; Sales accelerating; Size curve healthy (4/5),1.0,increase
HK1162012VCH,AB75,Centro Logistico Hoka,W BONDI 9 VCH,Footwear,Running,2,8,2,174990,154990,15%,1.0,174990,Full price,0.8,155304,131242,-24061,INCREASE,Selling 1.0 u/sem at 15% off -- test higher price; Sales accelerating,1.0,increase
HK1162030BBLC,AB75,Centro Logistico Hoka,M CLIFTON 10 BBLC,Footwear,Running,6,13,2,154990,131990,15%,1.8,154990,Full price,1.3,230548,203424,-27124,INCREASE,Selling 1.8 u/sem at 15% off -- test higher price; Sales accelerating,1.0,increase
HK1147811GMC,7501,Hoka Costanera,SPEEDGOAT 6 GMC W,Footwear,Running,3,10,19,154990,107990,30%,2.0,123990,20%,1.5,217000,185985,-31015,INCREASE,Selling 2.0 u/sem at 30% off -- test higher price; Sales accelerating,1.0,increase
HK1168722SWRD,7501,Hoka Costanera,MAFATE 5 SWRD M,Footwear,Running,3,11,24,184990,156990,15%,1.8,184990,Full price,1.3,275173,242799,-32374,INCREASE,Selling 1.8 u/sem at 15% off -- test higher price; Sales accelerating,1.0,increase
HK1162012MBLW,AB75,Centro Logistico Hoka,W BONDI 9 MBLW,Footwear,Running,4,8,2,174990,161990,15%,1.2,174990,Full price,0.9,202332,164053,-38279,INCREASE,Selling 1.2 u/sem at 15% off -- test higher price; Sales accelerating,1.0,increase
HK1162030PTYG,7501,Hoka Costanera,M CLIFTON 10 PTYG,Footwear,Running,3,9,2,154990,123990,20%,2.0,131990,15%,1.5,248000,197985,-50015,INCREASE,Selling 2.0 u/sem at 20% off -- test higher price,1.0,increase
HK1162011BBLC,7502,Hoka Marina,BONDI 9 BBLC M,Footwear,Running,4,13,25,169990,152990,15%,2.0,169990,Full price,1.5,305982,254985,-50997,INCREASE,Selling 2.0 u/sem at 15% off -- test higher price; Sales accelerating,1.0,increase
HK1162012BBLC,AB75,Centro Logistico Hoka,BONDI 9 BBLC W,Footwear,Running,8,10,25,169990,156990,15%,8.5,169990,Full price,6.4,1336548,1083686,-252862,INCREASE,Selling 8.5 u/sem at 15% off -- test higher price; Sales accelerating; Size curve healthy (8/10),1.0,increase
HK1162011BWHT,7502,Hoka Marina,BONDI 9 BWHT M,Footwear,Running,3,14,25,169990,118990,30%,1.0,101990,40%,4.0,119000,407960,288960,HIGH,In clearance stage; Size curve critical (57% attrition),1.0,decrease
HK1168450CJD,7501,Hoka Costanera,MAFATE SPEED 4 LITE CJD U,Footwear,Running,1,7,19,184990,129990,30%,0.5,110990,40%,2.0,64750,221980,157230,HIGH,In decline stage; Size curve critical (67% attrition),1.0,decrease
HK1162012ALBST,7501,Hoka Costanera,BONDI 9 ALBST W,Footwear,Running,1,9,21,169990,118990,30%,0.5,101990,40%,2.0,59500,203980,144480,HIGH,In clearance stage; Size curve critical (86% attrition),1.0,decrease
HK1155130DLN,7501,Hoka Costanera,Rincon 4 DL,Footwear,Sneakers,2,9,44,110490,90990,15%,1.0,76990,30%,3.0,90995,230970,139975,HIGH,In clearance stage; Size curve breaking (38% attrition); Product is 44 weeks old,1.0,decrease
HK1168691RCRM,7502,Hoka Marina,ARAHI 8 RCRM W,Footwear,Running,1,10,22,144990,101990,30%,0.5,86990,40%,2.0,50750,173980,123230,HIGH,In clearance stage; Size curve critical (83% attrition),1.0,decrease
HK1155351ARST,7501,Hoka Costanera,"BONDI B3LS ARST 7,5",Footwear,Street,1,11,34,123990,92990,20%,0.5,86990,30%,1.5,46497,130485,83987,HIGH,In decline stage; Size curve critical (67% attrition); Product is 34 weeks old,1.0,decrease
HK1155113CTF,7501,Hoka Costanera,SKYFLOW CTF 7,Footwear,Sneakers,1,8,32,159990,111990,30%,0.2,95990,40%,1.0,28000,95990,67990,HIGH,In decline stage; Size curve breaking (50% attrition); Product is 32 weeks old,1.0,decrease
HK1147791OSH,7502,Hoka Marina,SPEEDGOAT 6 OSH M,Footwear,Running,1,11,17,154990,107990,30%,0.2,92990,40%,1.0,27125,92990,65865,HIGH,In clearance stage; Size curve critical (80% attrition),1.0,decrease
HK1168716MPLC,7501,Hoka Costanera,CHALLENGER 8 MPLC M,Footwear,Running,1,11,21,144990,115990,20%,0.2,100990,30%,0.8,29000,75742,46742,HIGH,In clearance stage; Size curve critical (57% attrition),1.0,decrease
HK1135061WWH,7501,Hoka Costanera,U ORA RECOVERY SLIDE 3 WWH  12/14,Footwear,Slider-Flip Flop,1,8,133,59990,54990,15%,0.8,47990,20%,1.7,41618,79183,37565,HIGH,Size curve critical (67% attrition); Product is 133 weeks old,1.0,decrease
HK1164330BLK,7502,Hoka Marina,HOKA RUN HAT BLK N° OSFA,Equipment,,1,1,52,34990,23990,30%,0.5,20990,40%,2.0,12250,41980,29730,HIGH,In clearance stage; Product is 52 weeks old,1.0,decrease
HK1168931SGS,7501,Hoka Costanera,STINSON ONE7 SGS,Footwear,Running,1,8,12,189990,151990,20%,0.2,132990,30%,0.5,37998,66495,28497,HIGH,In clearance stage; Size curve critical (67% attrition),1.0,decrease
HK1164333SYW,7502,Hoka Marina,Clifton Crew Sock SYW L,Equipment,,1,2,48,31990,21990,30%,0.2,18990,40%,1.0,5600,18990,13390,HIGH,In clearance stage; Product is 48 weeks old,1.0,decrease
HK1147951VLV,7501,Hoka Costanera,ORA RECOVERY MULE VLV 8,Footwear,Slider-Flip Flop,1,8,11,79990,63990,20%,0.2,55990,30%,0.5,15998,27995,11997,HIGH,In decline stage; Size curve critical (80% attrition),1.0,decrease
HK1122930WBGR,7501,Hoka Costanera,SHOW RUN SOCK 3-PACK WBGR M,Equipment,Running,2,4,73,34990,30990,15%,2.2,27990,20%,2.6,70863,72632,1768,HIGH,Velocity declining; Product is 73 weeks old,1.0,decrease
HK1162012BWHT,7501,Hoka Costanera,BONDI 9 BWHT,Footwear,Sneakers,3,10,50,169990,169990,0%,3.8,118990,30%,11.2,637462,1338637,701175,MEDIUM,Product is 50 weeks old; Discounted in other channels,1.0,decrease
HK1162012BWHT,AB75,Centro Logistico Hoka,BONDI 9 BWHT,Footwear,Sneakers,4,10,50,169990,169990,0%,4.2,143990,15%,7.7,722457,1101523,379066,MEDIUM,Product is 50 weeks old; Discounted in other channels,1.0,decrease
HK1162031BWHT,7501,Hoka Costanera,"CLIFTON 10 BWHT 6,5",Footwear,Sneakers,3,9,39,149990,149990,0%,2.0,119990,20%,4.4,299980,527956,227976,MEDIUM,Product is 39 weeks old; Discounted in other channels,1.0,decrease
HK1168690SSTC,7501,Hoka Costanera,ARAHI 8 SSTC M,Footwear,Running,1,9,24,144990,101990,30%,0.8,86990,40%,3.0,76125,260970,184845,MEDIUM,Size curve critical (60% attrition),1.0,decrease
