parent_sku,store,store_name,product,category,subcategory,sizes_selling,sizes_total,product_age_weeks,stock_on_hand,weeks_of_cover,current_list_price,current_price,current_discount,current_velocity,recommended_price,recommended_discount,expected_velocity,current_weekly_rev,expected_weekly_rev,rev_delta,urgency,reasons,model_confidence,confidence_tier,action_type
OK0OO910005,D012,Oakley Antofagasta,LEFFINGWELL CRYSTAL BLACK CRYSTAL BLACK,Eyewear,Lifestyle,1,1,15,1.0,0.7,199990,99990,40%,1.5,149990,30%,1.2,149985,182857,32872,INCREASE,Selling 1.5 u/sem at 40% off -- test higher price; Size curve healthy (1/1),1.0,HIGH,increase
OK0OO952903,D004,Oakley Alto Las Condes,PLANTARIS SQUARE MATTE SAND PRIZM BROWN,Eyewear,Lifestyle,1,1,2,,,245900,119990,40%,1.0,199990,30%,0.8,119990,149992,30002,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.099,SPECULATIVE,increase
OK0OO943110,D014,Oakley Parque Arauco,LATERALIS MATTE VAPOR PRIZM RUBY POLARIZ,Eyewear,Lifestyle,1,1,17,,,214990,109990,40%,1.0,169990,30%,0.8,109990,127492,17502,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),1.0,SPECULATIVE,increase
OK0OO946306,D004,Oakley Alto Las Condes,SUTRO LITE MATTE NAVY MATTE NAVY,Eyewear,Performance,1,1,15,,,179990,79990,40%,1.0,129990,30%,0.8,79990,97492,17502,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.996,SPECULATIVE,increase
OK0OO953306,D002,Oakley Costanera Center,HSTN SQUARE MATTE BLACK PRIZM BLACK POL,Eyewear,Lifestyle,1,1,1,,,221900,109990,40%,1.0,169990,30%,0.8,109990,127492,17502,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.123,SPECULATIVE,increase
OK45815602E,D014,Oakley Parque Arauco,POLERA OAKLEY SI CORE BLK,Apparel,Street,5,5,12,,,29990,16990,40%,8.8,24990,30%,6.6,148662,163996,15334,INCREASE,Selling 8.8 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Sales accelerating; Size curve healthy (5/5),1.0,SPECULATIVE,increase
OK0OO952805,D014,Oakley Parque Arauco,NEOFORMA TORTOISE BROWN PRIZM GREY,Eyewear,Lifestyle,1,1,1,,,190900,99990,40%,2.0,139990,30%,1.5,199980,209985,10005,INCREASE,Selling 2.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.19,SPECULATIVE,increase
OKFOA40621631R,D011,Oakley Marina,CAPE CARGO RC HYBRID 20” SHORT 31R 30,Apparel,Bottom,2,4,31,2.0,1.0,49990,24990,40%,2.0,39990,30%,1.5,49980,59985,10005,INCREASE,Selling 2.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado,1.0,SPECULATIVE,increase
OK0OO953301,E001,Oakley Portal Rancagua,HSTN SQUARE MATTE BLACK PRIZM GREY,Eyewear,Lifestyle,1,1,2,,,162900,79990,40%,1.0,119990,30%,0.8,79990,89992,10002,INCREASE,Selling 1.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado; Size curve healthy (1/1),0.94,SPECULATIVE,increase
OKFOA40032101S,D002,Oakley Costanera Center,OAKLEY CAMO HOODIE 01S M,Apparel,Top,2,4,5,,,59990,29990,40%,2.0,44990,30%,1.5,59980,67485,7505,INCREASE,Selling 2.0 u/sem at 40% off -- test higher price; Sin elasticidad — volumen estimado,0.999,SPECULATIVE,increase
